screened_on,app_id,repository_url,revision,source_branch,license,ruby_version,rails_version,test_framework,prior_pair_screening,static_gate,github_status,commits_examined,conventional_fix_commits,nonbug_nonfix_commits,representative_fix_sha,representative_fix_subject,representative_fix_ruby_source_files,eligibility,reason,next_gate
2026-09-22,browse-everything,https://github.com/projecthydra/browse-everything,efb9aadb8fecb367749b92a7341c019db2a08cb3,main,Apache-2.0,3.1.6,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,c2,https://github.com/18F/C2,de18e920d2998d6a7218895d1b36a442f566557c,master,NOASSERTION,2.3.7,4.2.7.1,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,calagator,https://github.com/calagator/calagator,19da19ae22adccd7f1cd04ee1c3968356d6f1df9,main,NOASSERTION,not_declared,~> 5.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,cangaroo,https://github.com/nebulab/cangaroo,cb7e38bbd4bb912c666e939907af1d50e70bcac6,master,MIT,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,canvas-lms,https://github.com/instructure/canvas-lms,1c9f0bb8013ed69c4f2efe11fd483025469b7e6c,master,AGPL-3.0,not_declared,8.0.5,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,case_file_editor,https://github.com/ministryofjustice/case_file_editor,8cc9a339d4b6f98935bc1a439738062766f968b3,master,MIT,2.2.3,4.2.4,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,catarse,https://github.com/catarse/catarse,0d73a6104b2e5f280f842c8f6f112fd682d2db51,develop,MIT,2.7.1,~> 4.2.11,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,cfp-app,https://github.com/rubycentral/cfp-app,bc33ae67f34e260607c90551315901b09e98c32a,main,MIT,4.0.6,~> 8.1.3,RSpec,none,passed,ok,100,0,98,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,champaign,https://github.com/SumOfUs/Champaign,570a5e26d3009c3f5c2da6cf18b5b66eaf4e98f2,development,MIT,2.6.2,~> 5.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,chartkick,https://github.com/ankane/chartkick,2c6cd4eb6275021c7b87d8e52767cde3bec396d2,master,MIT,not_declared,not_declared,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,classroom,https://github.com/education/classroom,a824a057b939c0bbbbad2a9258aa700baef80ef1,master,not_declared,2.6.4,~> 5.2.3,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,cloudnet,https://github.com/OnApp/cloudnet,c12f854654f604ee36e13f405876cbcb672d3810,master,Apache-2.0,2.2.1,4.2.7,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,cm42-central,https://github.com/Codeminer42/cm42-central,bd114b084da7e18b0475dc10114b4e9ff91b682f,master,AGPL-3.0,3.0.7,~> 6.1.7,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,code_fund_ads,https://github.com/gitcoinco/code_fund_ads,42333a28a9724a7f91487a345020602aed2c52fa,master,AGPL-3.0,2.6.6,~> 6.0,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,codemontage,https://github.com/CodeMontageHQ/codemontage,e3e68f15b25e0dc6cf58d95a735d8b47a7ea193c,master,GPL-3.0,2.1.5,3.2.19,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,codetriage,https://github.com/codetriage/codetriage,528c7c64fcf852ca41cd54ab11b06209db710a41,main,MIT,4.0.5,8.1.3.1,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,communityengine,https://github.com/bborn/communityengine,438659f2926e69e90861de6b4fda02aea793d6d6,master,NOASSERTION,not_declared,not_declared,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,contrib-hub,https://github.com/orendon/contrib-hub,3bc7a0b9c8d4f0dfd61dfd230df178c4a15c5e59,master,MIT,2.3.0,4.2.5.1,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,contribulator,https://github.com/andrew/contribulator,960e759140a7954441f78a547bc4b300580d6d1b,master,MIT,2.7.1,6.1.4.1,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,coursemology2,https://github.com/Coursemology/coursemology2,f491091fd686cad8fc29404e342fbabdb49b1274,master,MIT,3.3.5,~> 8.1.0,RSpec,none,passed,ok,100,26,73,2afedaf616fe832e2bf6278deb8c620648a47d51,fix(sign_out): invalidate cookie server-side on user sign out,app/controllers/access_token_controller.rb; config/routes.rb,potential_pair_candidate,Passes static metadata and history gates; comparability is still unverified.,Resolve one fix/control method pair and verify an identical compatibility cell plus two green baselines on each parent.
2026-09-22,crimethinc-website,https://github.com/crimethinc/website,ee549e7ee59f21947b1b92bb135d96f441d55952,main,CC0-1.0,4.0.5,8.1.3.1,RSpec,none,passed,ok,100,0,100,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,csvlint,https://github.com/theodi/csvlint,320ebdfa5d455392adbbf68534a1a24a1505f8af,main,MIT,~> 2.6,~> 4.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,cuttlefish,https://github.com/mlandauer/cuttlefish,884d690f82d6cb39d90c78d9bece67eea8823e00,master,NOASSERTION,ruby-3.0.6,~> 6.1.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,dashing-rails,https://github.com/gottfrois/dashing-rails,e3b480931791578d68b16e7924302238d50c9ffb,master,MIT,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,dbhero,https://github.com/catarse/dbhero,d1e4e5742beb00a8b35017d5675f05e9aa7db421,master,MIT,not_declared,4.2.10,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,defence-request-service,https://github.com/ministryofjustice/defence-request-service,794c5d456ba01f34f6118bf33f541c83bd9c8cd4,master,MIT,2.2.2,4.2.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,defence-request-service-rota,https://github.com/ministryofjustice/defence-request-service-rota,5bbce33e638a01b49866d903bffba24261fea8ec,master,MIT,2.2.2,4.2.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,dev.to,https://github.com/thepracticaldev/dev.to,cdee5025d215803fcb3974030c1a64d95d60e536,main,AGPL-3.0,3.3.0,8.0.5,RSpec,none,passed,ok,100,2,86,9db33e70dc4ac0a6018b4dcdef6aea7d72d00505,fix: render nested embeds correctly inside collapsible/details liquid tag (#23492),app/liquid_tags/details_tag.rb,potential_pair_candidate,Passes static metadata and history gates; comparability is still unverified.,Resolve one fix/control method pair and verify an identical compatibility cell plus two green baselines on each parent.
2026-09-22,devise_authentication_api,https://github.com/ministryofjustice/devise_authentication_api,c0783a88dd59a3a2e5666d9d144ada543f5013e7,master,not_declared,not_declared,4.0.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,diaspora,https://github.com/diaspora/diaspora,f96527862dc1ba2e5b95c4196efb0d1f0cc4b6e5,develop,AGPL-3.0,3.3,6.1.7.10,RSpec+Minitest,none,passed,ok,100,6,93,7ce900c977e864b49fb8d3e66c9bbf79b36d4813,fix(inflections): register HTML acronym for markdown renderer,config/initializers/inflections.rb,potential_pair_candidate,Passes static metadata and history gates; comparability is still unverified.,Resolve one fix/control method pair and verify an identical compatibility cell plus two green baselines on each parent.
2026-09-22,discourse,https://github.com/discourse/discourse,5b1600aa9629488a318d229cd9237c08f5ed27a5,main,GPL-2.0,~> 3.4,not_declared,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Rails version does not declare support at or above 6.1.,None; excluded before GitHub history scan.
2026-09-22,ds-auth,https://github.com/ministryofjustice/ds-auth,90662947666f71d1aba5590f424057d4632cda8a,master,MIT,2.2.3,4.2.2,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,e-manifest,https://github.com/18F/e-manifest,b201b7f57296ea282d728e55a89467a04660f3a2,master,NOASSERTION,2.2.3,~> 4.2.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,e-petitions,https://github.com/alphagov/e-petitions,373dae577dbfe2ce3ba0e7b845bd022afdc25703,master,MIT,ruby-3.2.11,8.0.5.1,RSpec,none,passed,ok,100,0,100,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,earthdata-search,https://github.com/nasa/earthdata-search,33e07e154ecfc4badbe01f0b4cf3cc9e1a2e449b,main,NOASSERTION,not_declared,not_declared,not_found,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,easymon,https://github.com/basecamp/easymon,aa4c66e9e4af3abfdf2b04546cea7bc86c68676f,master,MIT,3.4.6,8.0.3,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,eff-action-center-platform,https://github.com/EFForg/action-center-platform,a70efdc3cb217aa20e35a754a63fc440c3f28541,master,AGPL-3.0,2.5.5,~> 5.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,enki,https://github.com/xaviershay/enki,759aada0a8a0c456fcf3ecf2ad7aa8d0d763bde7,master,NOASSERTION,not_declared,~> 4.2.4,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,envizon,https://github.com/evait-security/envizon,2931752ebe7848d0e7e9374cbd7fb77b1a0a809c,master,MIT,not_declared,~> 5.2.4,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,errbit,https://github.com/errbit/errbit,7a07126bf9939ee28df5675ee67b8ba8bd781d81,main,MIT,4.0.6,8.1.3.1,RSpec,none,passed,ok,100,0,93,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,eventkit-rails,https://github.com/sendgrid/eventkit-rails,c483ab443b29b6f50386afa4e693a53e677b1861,master,OSL-3.0,2.2.4,4.0.8,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,exception_notification,https://github.com/smartinez87/exception_notification,e675f5654712ca26499c8f3b304abf30cfba7e4a,master,MIT,3.3.7,8.0.2,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,fat_free_crm,https://github.com/fatfreecrm/fat_free_crm,059c4d0c79d5628bed33026372d17390965bdad5,master,NOASSERTION,4.0.2,8.0.5,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,feedbin,https://github.com/feedbin/feedbin,9bfc9f684afdc68b6c9bbd0d96e4a8e783608bf4,main,MIT,4.0.6,8.1.3.1,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,feedbunch,https://github.com/amatriain/feedbunch,a659563d360806d5da69dd9d91b002d945559ba9,master,MIT,not_declared,not_declared,not_found,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,field_test,https://github.com/ankane/field_test,d6804727a5e6f9c58bd0b397f95a45c919be3eaa,master,MIT,not_declared,~> 8.1.0,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,flip,https://github.com/pda/flip,e965bdedde202a921c3616aebdc3535db375a15d,master,not_declared,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,foreman,https://github.com/theforeman/foreman,25652c95e00f8b1bd185e099d353cb00827b0371,develop,GPL-3.0,not_declared,~> 7.0.3,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,fr-staffapp,https://github.com/ministryofjustice/fr-staffapp,2de93a3f44ed9a4548fb914821e39dda4b16c5fc,master,MIT,4.0.6,~> 8.1,RSpec+Minitest,none,passed,ok,100,0,94,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,french_toast,https://github.com/thoughtbot/french_toast,06777f650c3d360adcb39c8456c06aa322f0110b,main,MIT,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,freshfoodconnect,https://github.com/thoughtbot/freshfoodconnect,3ba8092017bed7a868199f4f75ab11c9805a2784,main,not_declared,2.3.1,~> 4.2.7.1,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,frontend,https://github.com/alphagov/frontend,8f8989efaa341353e5c47cdd6642324cc7b4d6b7,main,MIT,~> 4.0,8.1.3.1,RSpec,none,passed,ok,100,0,95,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,fulcrum,https://github.com/fulcrum-agile/fulcrum,f5b4ed0491d3f463ea3e851810e31843aa89dca2,master,AGPL-3.0,2.2.1,~> 4.1.9,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,girldevelopit,https://github.com/girldevelopit/gdi-new-site,21e4d322cc536fe1e3380df04e0d460ae2175894,staging,MIT,2.4.1,4.2.9,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,github-awards,https://github.com/vdaubry/github-awards,a0ac22a73a8df7236b311297337bd8bc980181d0,master,MIT,2.3.1,~> 4.2.7.1,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,gitlab-ci,https://github.com/gitlabhq/gitlab-ci,ab59b450b41c0c1ae22609c68ccc2816806f611a,master,MIT,not_declared,4.1.12,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,gitlabhq,https://github.com/gitlabhq/gitlabhq,79b8313d5f4e25bb735fc05593781f96c5e14cad,master,NOASSERTION,3.3.11,~> 8.0.0,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,griddler,https://github.com/thoughtbot/griddler,837a2e8dd8834fdf42e13fc42f0eefc8e239e32a,main,MIT,2.3.3,~> 4.0.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,growstuff,https://github.com/Growstuff/growstuff,0998191673d18926b3198b879f705d86aaa12834,dev,AGPL-3.0,4.0.6,~> 8.1.0,RSpec,none,passed,ok,100,0,92,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,health-monitor-rails,https://github.com/lbeder/health-monitor-rails,a6add82952c8428aa3d6f859b58eb53ee8ba146c,master,MIT,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,helpy,https://github.com/helpyio/helpy,26aff0e485aee91f41098ee986cfe750746dcfee,master,MIT,>= 2.2,4.2.11.1,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,heya,https://github.com/honeybadger-io/heya,a95c515ac8b6f144dbc5840f200fb8b3ce1bcb66,main,NOASSERTION,not_declared,8.0.3,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,high_voltage,https://github.com/thoughtbot/high_voltage,97b61482cd012f61442e1c732a6019c6bfe9bb76,main,MIT,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,hourglass,https://github.com/collectiveidea/hourglass,31f3d47c5bec2e019d138eef035a491d26d674f2,master,not_declared,2.4.5,4.2.8,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,hours,https://github.com/DefactoSoftware/Hours,d6951405186bbb91ad392b7646a9fd56b8ed1867,development,MIT,2.4.2,~> 5.0.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,huboard-web,https://github.com/huboard/huboard-web,f0980fb1d4941086b6bf23682bf68adb6bd5f8aa,master,not_declared,2.3.1,4.2.6,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,hyku,https://github.com/samvera-labs/hyku,3f924e9fb2dde00f1edcad5df8725028f059385b,main,NOASSERTION,not_declared,~> 7.2.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,hyrax,https://github.com/samvera/hyrax,a618e9c810377f0e292e5415b7718a084f516f64,main,Apache-2.0,not_declared,not_declared,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
2026-09-22,identity-idp,https://github.com/18F/identity-idp,3bf5e6ef5ebf74359903488771441ab8d9a515ea,main,NOASSERTION,"~> #{File.read(File.join(__dir__, ",~> 8.1.0,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,ifme,https://github.com/julianguyen/ifme,63e726bddb249194ffa3504ca0c353631b7ef32e,main,AGPL-3.0,~> 3.3.0,~> 7.0.8.4,RSpec,none,passed,ok,100,1,91,"","","",fix_without_production_ruby_change,"Conventional fixes were found, but none changed a production .rb file in the inspected window.",Exclude from the automatic-method study unless manually reviewed.
2026-09-22,imminence,https://github.com/alphagov/imminence,8481d21b6426ea1f6aa6d7d5cab4784a762bf4fb,main,MIT,~> 4.0,8.1.3.1,RSpec,none,passed,ok,100,0,98,"","","",no_conventional_fix_in_window,No Conventional Commit fix: subject appeared in the latest 100 commits.,Expand the read-only history window only if this project becomes strategically interesting.
2026-09-22,inch_ci-web,https://github.com/inch-ci/inch_ci-web,db1437218f544e4f21bdfd3690a952bf26a84028,master,MIT,ruby-2.1.5,4.1.1,Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No RSpec integration declared in the inventory.,None; excluded before GitHub history scan.
2026-09-22,jobsworth,https://github.com/ari/jobsworth,5f897022fb92d22a15d10ff3a2aeaadb91cfe352,master,AGPL-3.0,jruby-9.1.5.0,~> 4.2,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Rails version does not declare support at or above 6.1.,None; excluded before GitHub history scan.
2026-09-22,kandan,https://github.com/kandanapp/kandan,155d15a6e4107ced3fc53cf4d39279f8a40c3512,master,not_declared,not_declared,~> 3.2.21,RSpec,none,rejected,not_queried,0,0,0,"","","",static_ineligible,No clear open-source license in the inventory.,None; excluded before GitHub history scan.
2026-09-22,katello,https://github.com/Katello/katello,eac728cfaffa66bd91f302a41168f69a9d02dbfa,master,GPL-2.0,not_declared,not_declared,RSpec+Minitest,none,rejected,not_queried,0,0,0,"","","",static_ineligible,Ruby version does not declare support at or above 3.2.,None; excluded before GitHub history scan.
